Funktionsname,Component,Components
GMImage.SetOrientation,GraphicsMagick,GraphicsMagick
GMImage.SetPage,GraphicsMagick,GraphicsMagick
GMImage.SetPixelColor,GraphicsMagick,GraphicsMagick
GMImage.SetProfile,GraphicsMagick,GraphicsMagick
GMImage.SetQuality,GraphicsMagick,GraphicsMagick
GMImage.SetQuantizeColorSpace,GraphicsMagick,GraphicsMagick
GMImage.SetQuantizeColors,GraphicsMagick,GraphicsMagick
GMImage.SetQuantizeDither,GraphicsMagick,GraphicsMagick
GMImage.SetQuantizeTreeDepth,GraphicsMagick,GraphicsMagick
GMImage.SetQuiet,GraphicsMagick,GraphicsMagick
GMImage.SetRenderingIntent,GraphicsMagick,GraphicsMagick
GMImage.SetResolutionUnits,GraphicsMagick,GraphicsMagick
GMImage.SetScene,GraphicsMagick,GraphicsMagick
GMImage.SetSize,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeAntiAlias,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeColor,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeDashArray,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeDashOffset,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeLineCap,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeLineJoin,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeMiterLimit,GraphicsMagick,GraphicsMagick
GMImage.SetStrokeWidth,GraphicsMagick,GraphicsMagick
GMImage.SetSubImage,GraphicsMagick,GraphicsMagick
GMImage.SetSubRange,GraphicsMagick,GraphicsMagick
GMImage.SetTextEncoding,GraphicsMagick,GraphicsMagick
GMImage.SetTileName,GraphicsMagick,GraphicsMagick
GMImage.SetType,GraphicsMagick,GraphicsMagick
GMImage.SetVerbose,GraphicsMagick,GraphicsMagick
GMImage.SetView,GraphicsMagick,GraphicsMagick
GMImage.SetXMP,GraphicsMagick,GraphicsMagick
GMImage.SetChannelDepth,GraphicsMagick,GraphicsMagick
GMImage.SetColorMap,GraphicsMagick,GraphicsMagick
GMImage.Shade,GraphicsMagick,GraphicsMagick
GMImage.Sharpen,GraphicsMagick,GraphicsMagick
GMImage.SharpenChannel,GraphicsMagick,GraphicsMagick
GMImage.Shave,GraphicsMagick,GraphicsMagick
GMImage.Shear,GraphicsMagick,GraphicsMagick
GMImage.Signature,GraphicsMagick,GraphicsMagick
GMImage.SkewX,GraphicsMagick,GraphicsMagick
GMImage.SkewY,GraphicsMagick,GraphicsMagick
GMImage.Solarize,GraphicsMagick,GraphicsMagick
GMImage.Spread,GraphicsMagick,GraphicsMagick
GMImage.Statistics,GraphicsMagick,GraphicsMagick
GMImage.Stegano,GraphicsMagick,GraphicsMagick
GMImage.Stereo,GraphicsMagick,GraphicsMagick
GMImage.Strip,GraphicsMagick,GraphicsMagick
GMImage.StrokePattern,GraphicsMagick,GraphicsMagick
GMImage.Swirl,GraphicsMagick,GraphicsMagick
GMImage.Texture,GraphicsMagick,GraphicsMagick
GMImage.Threshold,GraphicsMagick,GraphicsMagick
GMImage.TotalColors,GraphicsMagick,GraphicsMagick
GMImage.Transform,GraphicsMagick,GraphicsMagick
GMImage.TransformOrigin,GraphicsMagick,GraphicsMagick
GMImage.TransformReset,GraphicsMagick,GraphicsMagick
GMImage.TransformRotation,GraphicsMagick,GraphicsMagick
GMImage.TransformScale,GraphicsMagick,GraphicsMagick
GMImage.TransformSkewX,GraphicsMagick,GraphicsMagick
GMImage.TransformSkewY,GraphicsMagick,GraphicsMagick
GMImage.Translation,GraphicsMagick,GraphicsMagick
GMImage.Transparent,GraphicsMagick,GraphicsMagick
GMImage.Trim,GraphicsMagick,GraphicsMagick
GMImage.Unsharpmask,GraphicsMagick,GraphicsMagick
GMImage.UnsharpmaskChannel,GraphicsMagick,GraphicsMagick
GMImage.Wave,GraphicsMagick,GraphicsMagick
GMImage.WriteImages,GraphicsMagick,GraphicsMagick
GMImage.WriteToBMPContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToFile,GraphicsMagick,GraphicsMagick
GMImage.WriteToGIFContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToJPEGContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToPDFContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToPNGContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToTiffContainer,GraphicsMagick,GraphicsMagick
GMImage.WriteToWebPContainer,GraphicsMagick,GraphicsMagick
GMImage.XResolution,GraphicsMagick,GraphicsMagick
GMImage.YResolution,GraphicsMagick,GraphicsMagick
GMImage.Zoom,GraphicsMagick,GraphicsMagick
GZipFile.Compress,Compression,Compression
GZipFile.Decompress,Compression,Compression
GetSystemUIMode,SystemUIMode,SystemUIMode
GetSystemUIModeOptions,SystemUIMode,SystemUIMode
HadErrors,Plugin,Plugin
IKDeviceBrowserPanel.Close,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetCancelButtonLabel,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetDisplaysLocalCameras,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetDisplaysLocalScanners,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetDisplaysNetworkCameras,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetDisplaysNetworkScanners,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetHeight,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetMode,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetPrompt,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetSelectButtonLabel,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetWidth,ImageCapture,ImageCapture
IKDeviceBrowserPanel.GetWindowTitle,ImageCapture,ImageCapture
IKDeviceBrowserPanel.Hide,ImageCapture,ImageCapture
IKDeviceBrowserPanel.Reset,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SelectedDeviceID,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SelectedDeviceName,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetCancelButtonLabel,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetDisplaysLocalCameras,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetDisplaysLocalScanners,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetDisplaysNetworkCameras,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetDisplaysNetworkScanners,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetHeight,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetMode,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetPrompt,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetSelectButtonLabel,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetTrigger,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetWidth,ImageCapture,ImageCapture
IKDeviceBrowserPanel.SetWindowTitle,ImageCapture,ImageCapture
IKDeviceBrowserPanel.Show,ImageCapture,ImageCapture
IKDeviceBrowserPanel.Visible,ImageCapture,ImageCapture
IKScannerDevicePanel.ClearImage,ImageCapture,ImageCapture
IKScannerDevicePanel.Close,ImageCapture,ImageCapture
IKScannerDevicePanel.GetCombine,ImageCapture,ImageCapture
IKScannerDevicePanel.GetDocumentName,ImageCapture,ImageCapture
IKScannerDevicePanel.GetDownloadsDirectory,ImageCapture,ImageCapture
IKScannerDevicePanel.GetHeight,ImageCapture,ImageCapture
IKScannerDevicePanel.GetMode,ImageCapture,ImageCapture
IKScannerDevicePanel.GetOverviewControlLabel,ImageCapture,ImageCapture
IKScannerDevicePanel.GetScanControlLabel,ImageCapture,ImageCapture
IKScannerDevicePanel.GetScannerDeviceID,ImageCapture,ImageCapture
IKScannerDevicePanel.GetScannerDeviceName,ImageCapture,ImageCapture
IKScannerDevicePanel.GetWidth,ImageCapture,ImageCapture
IKScannerDevicePanel.GetWindowTitle,ImageCapture,ImageCapture
IKScannerDevicePanel.Hide,ImageCapture,ImageCapture
IKScannerDevicePanel.ImageCount,ImageCapture,ImageCapture
IKScannerDevicePanel.NextImage,ImageCapture,ImageCapture
IKScannerDevicePanel.Reset,ImageCapture,ImageCapture
IKScannerDevicePanel.SetCloseTrigger,ImageCapture,ImageCapture
IKScannerDevicePanel.SetCombine,ImageCapture,ImageCapture
IKScannerDevicePanel.SetDocumentName,ImageCapture,ImageCapture
IKScannerDevicePanel.SetDownloadsDirectory,ImageCapture,ImageCapture
IKScannerDevicePanel.SetHeight,ImageCapture,ImageCapture
IKScannerDevicePanel.SetMode,ImageCapture,ImageCapture
IKScannerDevicePanel.SetOverviewControlLabel,ImageCapture,ImageCapture
IKScannerDevicePanel.SetScanControlLabel,ImageCapture,ImageCapture
IKScannerDevicePanel.SetScannerDeviceID,ImageCapture,ImageCapture
IKScannerDevicePanel.SetScannerDeviceName,ImageCapture,ImageCapture
IKScannerDevicePanel.SetTrigger,ImageCapture,ImageCapture
IKScannerDevicePanel.SetWidth,ImageCapture,ImageCapture
IKScannerDevicePanel.SetWindowTitle,ImageCapture,ImageCapture
IKScannerDevicePanel.Show,ImageCapture,ImageCapture
IKScannerDevicePanel.Visible,ImageCapture,ImageCapture
Icon.ClearIcon,QuickLook,"QuickLook, Files"
Icon.GetIcon,QuickLook,"QuickLook, Files"
Icon.GetIconWithQuickLook,QuickLook,"QuickLook, Files"
Icon.SetIcon,QuickLook,"QuickLook, Files"
Is64bit,Plugin,Plugin
IsClient,Plugin,Plugin
IsError,Plugin,Plugin
IsIOS,Plugin,Plugin
IsIOSDevice,Plugin,Plugin
IsIOSSimulator,Plugin,Plugin
IsLinux,Plugin,Plugin
IsMacOS,Plugin,Plugin
IsMobile,Plugin,Plugin
IsRegistered,Plugin,Plugin
IsRuntime,Plugin,Plugin
IsServer,Plugin,Plugin
IsWindows,Plugin,Plugin
JS.AddFileMakerEvaluateFunction,JavaScript,JavaScript
JS.AddFileMakerRunScriptFunction,JavaScript,JavaScript
JS.AddFileMakerSQLFunction,JavaScript,JavaScript
JS.AddFunction,JavaScript,JavaScript
JS.CF,JavaScript,JavaScript
JS.CallFunction,JavaScript,JavaScript
JS.CallFunctionValues,JavaScript,JavaScript
JS.Evaluate,JavaScript,JavaScript
JS.EvaluateToString,JavaScript,JavaScript
JS.GetGlobalProperty,JavaScript,JavaScript
JS.GetGlobalPropertyValue,JavaScript,JavaScript
JS.InitModules,JavaScript,JavaScript
JS.List,JavaScript,JavaScript
JS.New,JavaScript,JavaScript
JS.Now,JavaScript,JavaScript
JS.ObjectCount,JavaScript,JavaScript
JS.Release,JavaScript,JavaScript
JS.ReleaseAll,JavaScript,JavaScript
JS.SetGlobalProperty,JavaScript,JavaScript
JS.SetGlobalPropertyValue,JavaScript,JavaScript
JS.StringCount,JavaScript,JavaScript
JS.TimeToDateComponents,JavaScript,JavaScript
JS.TimeToUTCDate,JavaScript,JavaScript
JS.UTCDateToTime,JavaScript,JavaScript
JavaScript.Available,JavaScriptWebKit,JavaScriptWebKit
JavaScript.CF,JavaScriptWebKit,JavaScriptWebKit
JavaScript.CallFunction,JavaScriptWebKit,JavaScriptWebKit
JavaScript.CheckScriptSyntax,JavaScriptWebKit,JavaScriptWebKit
JavaScript.EvaluateScript,JavaScriptWebKit,JavaScriptWebKit
JavaScript.GetProperty,JavaScriptWebKit,JavaScriptWebKit
JavaScript.GetPropertyJSON,JavaScriptWebKit,JavaScriptWebKit
JavaScript.HasProperty,JavaScriptWebKit,JavaScriptWebKit
JavaScript.List,JavaScriptWebKit,JavaScriptWebKit
JavaScript.LoadLibrary,JavaScriptWebKit,JavaScriptWebKit
JavaScript.New,JavaScriptWebKit,JavaScriptWebKit
JavaScript.RegisterEvaluateFunction,JavaScriptWebKit,JavaScriptWebKit
JavaScript.RegisterFunction,JavaScriptWebKit,JavaScriptWebKit
JavaScript.RegisterRunScriptFunction,JavaScriptWebKit,JavaScriptWebKit
JavaScript.RegisterSQLQueryFunction,JavaScriptWebKit,JavaScriptWebKit
JavaScript.Release,JavaScriptWebKit,JavaScriptWebKit
JavaScript.ReleaseAll,JavaScriptWebKit,JavaScriptWebKit
JavaScript.SetProperty,JavaScriptWebKit,JavaScriptWebKit
JavaScript.SetPropertyJSON,JavaScriptWebKit,JavaScriptWebKit
LCMS.ProfileInfo,Utility,Utility
LDAP.AddJSON,LDAP,"LDAP, JSON"
LDAP.JSON,LDAP,"LDAP, JSON"
LDAP.ModifyJSON,LDAP,"LDAP, JSON"
Log,Utility,Utility
MenuItem.CreateMenuItem,Menu,Menu
MenuItem.CreateSeparator,Menu,Menu
MenuItem.GetAlternate,Menu,Menu
MenuItem.GetAttributedTitle,Menu,Menu
MenuItem.GetBackColor,Menu,Menu
MenuItem.GetBold,Menu,Menu
MenuItem.GetEnabled,Menu,Menu
MenuItem.GetEvaluate,Menu,Menu
MenuItem.GetFontColor,Menu,Menu
MenuItem.GetFontName,Menu,Menu
MenuItem.GetFontSize,Menu,Menu
MenuItem.GetGroupID,Menu,Menu
MenuItem.GetHidden,Menu,Menu
MenuItem.GetImage,Menu,Menu
MenuItem.GetItalic,Menu,Menu
MenuItem.GetKeyEquivalent,Menu,Menu
MenuItem.GetKeyEquivalentModifierMask,Menu,Menu
MenuItem.GetMixedStateImage,Menu,Menu
MenuItem.GetOffStateImage,Menu,Menu
MenuItem.GetOnStateImage,Menu,Menu
MenuItem.GetParentItem,Menu,Menu
MenuItem.GetParentMenu,Menu,Menu
MenuItem.GetPath,Menu,Menu
MenuItem.GetRequireCommand,Menu,Menu
MenuItem.GetRequireControl,Menu,Menu
MenuItem.GetRequireOption,Menu,Menu
MenuItem.GetRequireShift,Menu,Menu
MenuItem.GetScriptFileName,Menu,Menu
MenuItem.GetScriptName,Menu,Menu
MenuItem.GetSelectable,Menu,Menu
MenuItem.GetState,Menu,Menu
MenuItem.GetStrikeOut,Menu,Menu
MenuItem.GetSubMenu,Menu,Menu
MenuItem.GetTag,Menu,Menu
MenuItem.GetTitle,Menu,Menu
MenuItem.GetToolTip,Menu,Menu
MenuItem.GetURL,Menu,Menu
MenuItem.GetUnderline,Menu,Menu
MenuItem.GetUserKeyEquivalent,Menu,Menu
MenuItem.HasSubmenu,Menu,Menu
MenuItem.IsSeparatorItem,Menu,Menu
MenuItem.List,Menu,Menu
MenuItem.Release,Menu,Menu
MenuItem.ReleaseAll,Menu,Menu
MenuItem.SetAlternate,Menu,Menu
MenuItem.SetAttributedTitle,Menu,Menu
MenuItem.SetBackColor,Menu,Menu
MenuItem.SetBold,Menu,Menu
MenuItem.SetEnabled,Menu,Menu
MenuItem.SetEvaluate,Menu,Menu
MenuItem.SetFontColor,Menu,Menu
MenuItem.SetFontName,Menu,Menu
MenuItem.SetFontSize,Menu,Menu
MenuItem.SetGroupID,Menu,Menu
MenuItem.SetHidden,Menu,Menu
MenuItem.SetImage,Menu,Menu
MenuItem.SetItalic,Menu,Menu
MenuItem.SetKeyEquivalent,Menu,Menu
MenuItem.SetKeyEquivalentModifierMask,Menu,Menu
MenuItem.SetMixedStateImage,Menu,Menu
MenuItem.SetOffStateImage,Menu,Menu
MenuItem.SetOnStateImage,Menu,Menu
MenuItem.SetRequireCommand,Menu,Menu
MenuItem.SetRequireControl,Menu,Menu
MenuItem.SetRequireOption,Menu,Menu
MenuItem.SetRequireShift,Menu,Menu
MenuItem.SetScriptAction,Menu,Menu
MenuItem.SetSelectable,Menu,Menu
MenuItem.SetState,Menu,Menu
MenuItem.SetStrikeOut,Menu,Menu
MenuItem.SetSubMenu,Menu,Menu
MenuItem.SetTag,Menu,Menu
MenuItem.SetTitle,Menu,Menu
MenuItem.SetToolTip,Menu,Menu
MenuItem.SetURL,Menu,Menu
MenuItem.SetUnderline,Menu,Menu
Modbus.CalculateRTUMessageCRC,Utility,Utility
MountNotification.Install,Files,Files
MountNotification.Uninstall,Files,Files
MouseCursor.Hide,Utility,Utility
MouseCursor.HideUntilMouseMoves,Utility,Utility
MouseCursor.Set,Utility,Utility
MouseCursor.Show,Utility,Utility
Msgbox,Utility,Utility
PKCS12.CA,Certificates,Certificates
PKCS12.CACount,Certificates,Certificates
PKCS12.Cert,Certificates,Certificates
PKCS12.List,Certificates,Certificates
PKCS12.PKey,Certificates,Certificates
PKCS12.ReadFromContainer,Certificates,Certificates
PKCS12.ReadFromFile,Certificates,Certificates
PKCS12.Release,Certificates,Certificates
PKCS12.ReleaseAll,Certificates,Certificates
PKCS12.ShowDialog,Certificates,Certificates
PKCS12.SignData,Certificates,Certificates
PKCS7.List,Certificates,Certificates
PKCS7.ReadFromContainer,Certificates,Certificates
PKCS7.ReadFromFile,Certificates,Certificates
PKCS7.Release,Certificates,Certificates
PKCS7.ReleaseAll,Certificates,Certificates
PKCS7.SignedDataCert,Certificates,Certificates
PKCS7.SignedDataCertCount,Certificates,Certificates
PKCS7.SignedDataContent,Certificates,Certificates
PKey.Bits,Certificates,Certificates
PKey.DescriptionPrivateKey,Certificates,Certificates
PKey.DescriptionPublicKey,Certificates,Certificates
PKey.GetPrivateKey,Certificates,Certificates
PKey.GetPublicKey,Certificates,Certificates
PKey.List,Certificates,Certificates
PKey.Read,Certificates,Certificates
PKey.ReadFromContainer,Certificates,Certificates
PKey.ReadFromFile,Certificates,Certificates
PKey.Release,Certificates,Certificates
PKey.ReleaseAll,Certificates,Certificates
PKey.Type,Certificates,Certificates
PageSetupDialog.ClearOption,PrintDialog,PrintDialog
PageSetupDialog.ClearOptions,PrintDialog,PrintDialog
PageSetupDialog.Disable,PrintDialog,PrintDialog
PageSetupDialog.Enable,PrintDialog,PrintDialog
PageSetupDialog.GetLastSettings,PrintDialog,PrintDialog
PageSetupDialog.GetNoDialog,PrintDialog,PrintDialog
PageSetupDialog.GetOption,PrintDialog,PrintDialog
PageSetupDialog.GetPaperHeight,PrintDialog,PrintDialog
PageSetupDialog.GetPaperName,PrintDialog,PrintDialog
PageSetupDialog.GetPaperOrientation,PrintDialog,PrintDialog
PageSetupDialog.GetPaperWidth,PrintDialog,PrintDialog
PageSetupDialog.GetPrinterName,PrintDialog,PrintDialog
PageSetupDialog.GetScalingFactor,PrintDialog,PrintDialog
PageSetupDialog.Install,PrintDialog,PrintDialog
PageSetupDialog.Reset,PrintDialog,PrintDialog
PageSetupDialog.SetNoDialog,PrintDialog,PrintDialog
PageSetupDialog.SetOption,PrintDialog,PrintDialog
PageSetupDialog.SetPaperHeight,PrintDialog,PrintDialog
PageSetupDialog.SetPaperName,PrintDialog,PrintDialog
PageSetupDialog.SetPaperOrientation,PrintDialog,PrintDialog
PageSetupDialog.SetPaperWidth,PrintDialog,PrintDialog
PageSetupDialog.SetPrinterName,PrintDialog,PrintDialog
PageSetupDialog.SetScalingFactor,PrintDialog,PrintDialog
Platform,Plugin,Plugin
ProcessActivity.List,Process,Process
ProcessActivity.Options,Process,Process
ProcessActivity.Reason,Process,Process
ProcessActivity.beginActivity,Process,Process
ProcessActivity.endActivity,Process,Process
QLPreviewPanel.AddContainer,QuickLook,QuickLook
QLPreviewPanel.AddFile,QuickLook,QuickLook
QLPreviewPanel.AddImage,QuickLook,QuickLook
QLPreviewPanel.AddPDF,QuickLook,QuickLook
QLPreviewPanel.Clear,QuickLook,QuickLook
QLPreviewPanel.CurrentPreviewItemIndex,QuickLook,QuickLook
QLPreviewPanel.CurrentPreviewItemPath,QuickLook,QuickLook
QLPreviewPanel.CurrentPreviewItemTitle,QuickLook,QuickLook
QLPreviewPanel.GetEditingAllowed,QuickLook,QuickLook
QLPreviewPanel.GetHeight,QuickLook,QuickLook
QLPreviewPanel.GetLeft,QuickLook,QuickLook
QLPreviewPanel.GetSharingAllowed,QuickLook,QuickLook
QLPreviewPanel.GetTop,QuickLook,QuickLook
QLPreviewPanel.GetWidth,QuickLook,QuickLook
QLPreviewPanel.Hide,QuickLook,QuickLook
QLPreviewPanel.IsVisible,QuickLook,QuickLook
QLPreviewPanel.Move,QuickLook,QuickLook
QLPreviewPanel.Resize,QuickLook,QuickLook
QLPreviewPanel.SavedFiles,QuickLook,QuickLook
QLPreviewPanel.SetCurrentPreviewItemIndex,QuickLook,QuickLook
QLPreviewPanel.SetDismissTrigger,QuickLook,QuickLook
QLPreviewPanel.SetEditingAllowed,QuickLook,QuickLook
QLPreviewPanel.SetSharingAllowed,QuickLook,QuickLook
QLPreviewPanel.Show,QuickLook,QuickLook
QuartzFilterManager.Filters,PDFKit,PDFKit
QuartzFilterManager.HidePanel,PDFKit,PDFKit
QuartzFilterManager.ShowPanel,PDFKit,PDFKit
QuickList.AddList,List,List
QuickList.AddMultiValue,List,List
QuickList.AddPostfix,List,List
QuickList.AddPrefix,List,List
QuickList.AddQuickList,List,List
QuickList.AddSQL,List,List
QuickList.AddValue,List,List
QuickList.And,List,List
QuickList.AndColumn,List,List
QuickList.BestMatch,List,List
QuickList.CSVSplit,List,List
QuickList.Clear,List,List
QuickList.Clone,List,List
QuickList.Count,List,List
QuickList.CountValuesMatching,List,List
QuickList.CrossProduct,List,List
QuickList.DeCombine,List,List
QuickList.DeleteColumn,List,List
QuickList.Deserialize,List,List
QuickList.Find,List,List
QuickList.FindDuplicateItems,List,List
QuickList.FindEquals,List,List
QuickList.FindUnequals,List,List
QuickList.GetColumn,List,List
QuickList.GetList,List,List
QuickList.GetValue,List,List
QuickList.HasDuplicateItems,List,List
QuickList.HasValue,List,List
QuickList.HasValues,List,List
QuickList.IndexOfFirstValueMatching,List,List
QuickList.InsertValue,List,List
QuickList.JSONArray,List,List
QuickList.JoinJSON,List,List
QuickList.List,List,List
QuickList.MatchesPostfix,List,List
QuickList.MatchesPrefix,List,List
QuickList.MatchesSubString,List,List
QuickList.New,List,List
QuickList.Not,List,List
QuickList.NotColumn,List,List
QuickList.Or,List,List
QuickList.OrColumn,List,List
QuickList.Pop,List,List
QuickList.PopFirst,List,List
QuickList.Push,List,List
QuickList.RegExMatch,List,List
QuickList.Release,List,List
QuickList.Remove,List,List
QuickList.RemoveDuplicateItems,List,List
QuickList.RemoveEmptyItems,List,List
QuickList.RemovePostfix,List,List
QuickList.RemovePrefix,List,List
QuickList.RemoveValue,List,List
QuickList.RemoveValues,List,List
QuickList.Reserve,List,List
QuickList.Reverse,List,List
QuickList.Serialize,List,List
QuickList.SetList,List,List
QuickList.SetValue,List,List
QuickList.Shuffle,List,List
QuickList.Sort,List,List
QuickList.SortWith,List,List
QuickList.SortWithEvaluate,List,List
QuickList.SubList,List,List
QuickList.Trim,List,List
QuickList.ValueIndex,List,List
QuickList.XOr,List,List
QuickList.XOrColumn,List,List
RSA.DecryptPrivateKey,Encryption,Encryption
RSA.EncryptPrivateKey,Encryption,Encryption
RSA.GeneratePrivateKey,Sign,"Sign, Encryption"
RSA.GetPublicKey,Sign,"Sign, Encryption"
RSA.PrivateDecrypt,Encryption,Encryption
RSA.PrivateEncrypt,Encryption,Encryption
RSA.PublicDecrypt,Encryption,Encryption
RSA.PublicEncrypt,Encryption,Encryption
RSA.Sign,Sign,"Sign, Encryption"
RSA.SignPSS,Sign,"Sign, Encryption"
RSA.Verify,Sign,"Sign, Encryption"
RSA.VerifyPSS,Sign,"Sign, Encryption"
Register,Plugin,Plugin
Registration,Plugin,Plugin
Screen.Count,Screenshot,Screenshot
Screen.DockHeight,Screenshot,Screenshot
Screen.DockWidth,Screenshot,Screenshot
Screen.Height,Screenshot,Screenshot
Screen.Left,Screenshot,Screenshot
Screen.Scale,Screenshot,Screenshot
Screen.Top,Screenshot,Screenshot
Screen.Width,Screenshot,Screenshot
Screenshot,Screenshot,Screenshot
ScreenshotRect,Screenshot,Screenshot
SendCommand,Utility,Utility
SetSystemUIMode,SystemUIMode,SystemUIMode
ShowURL,Utility,Utility
SocialRequest.AddParameter,Social,Social
SocialRequest.ClearMultipartData,Social,Social
SocialRequest.ClearParameter,Social,Social
SocialRequest.GetAccount,Social,Social
SocialRequest.GetMultiPartDataCount,Social,Social
SocialRequest.GetParameterCount,Social,Social
SocialRequest.GetRequestMethod,Social,Social
SocialRequest.GetResponse,Social,Social
SocialRequest.GetServiceType,Social,Social
SocialRequest.GetURL,Social,Social
SocialRequest.New,Social,Social
SocialRequest.Perform,Social,Social
SocialRequest.Release,Social,Social
SocialRequest.SetAccount,Social,Social
SocialRequest.SetRequestMethod,Social,Social
SocialRequest.SetServiceType,Social,Social
SocialRequest.SetURL,Social,Social
SocialRequest.addMultipartContainer,Social,Social
SocialRequest.addMultipartText,Social,Social
SpeechRecognition.AuthorizationStatus,Speech,Speech
SpeechRecognition.Initialize,Speech,Speech
SpeechRecognition.IsInitialized,Speech,Speech
SpeechRecognition.Recognize,Speech,Speech
SpeechRecognition.RequestAuthorization,Speech,Speech
SpeechRecognition.SupportedLocales,Speech,Speech
SpeechRecognition.SupportsOnDeviceRecognition,Speech,Speech
StoreRegistration,Plugin,Plugin
SystemInfo.ADSystemInfo,SystemInfo,"SystemInfo, LDAP"
Time.Sleep,Utility,Utility
Time.UnixTimeStamp,Utility,Utility
Toolbar.Register,Toolbar,"Toolbar, Window"
Toolbar.Unregister,Toolbar,"Toolbar, Window"
Trace,Trace,Trace
UnZipFile.Close,Compression,Compression
UnZipFile.ExtractFiles,Compression,Compression
UnZipFile.GlobalComment,Compression,Compression
UnZipFile.ItemCRC,Compression,Compression
UnZipFile.ItemComment,Compression,Compression
UnZipFile.ItemCompressedSize,Compression,Compression
UnZipFile.ItemCompressionMethod,Compression,Compression
UnZipFile.ItemCount,Compression,Compression
UnZipFile.ItemDate,Compression,Compression
UnZipFile.ItemDiskNumberStart,Compression,Compression
UnZipFile.ItemExternalFileAttributes,Compression,Compression
UnZipFile.ItemFlag,Compression,Compression
UnZipFile.ItemInternalFileAttributes,Compression,Compression
UnZipFile.ItemName,Compression,Compression
UnZipFile.ItemSizeFileComment,Compression,Compression
UnZipFile.ItemSizeFileExtra,Compression,Compression
UnZipFile.ItemSizeFileName,Compression,Compression
UnZipFile.ItemUncompressedSize,Compression,Compression
UnZipFile.ItemVersion,Compression,Compression
UnZipFile.ItemVersionNeeded,Compression,Compression
UnZipFile.OpenContainer,Compression,Compression
UnZipFile.OpenFile,Compression,Compression
UnZipFile.ReadAsFileContainer,Compression,Compression
UnZipFile.ReadAsGIFContainer,Compression,Compression
UnZipFile.ReadAsHex,Compression,Compression
UnZipFile.ReadAsJPEGContainer,Compression,Compression
UnZipFile.ReadAsPNGContainer,Compression,Compression
UnZipFile.ReadAsText,Compression,Compression
UnZipFile.ReadToFile,Compression,Compression
UnZipFile.UsePassword,Compression,Compression
Unregister,Plugin,Plugin
Version,Plugin,Plugin
VersionAutoUpdate,Plugin,Plugin
WebPolicyDelegate.AddMimeType,WebView,WebView
WebPolicyDelegate.Install,WebView,WebView
WebPolicyDelegate.RemoveMimeType,WebView,WebView
WebRequest.GetBody,WebHook,WebHook
WebRequest.GetBodyAsContainer,WebHook,WebHook
WebRequest.GetBodySize,WebHook,WebHook
WebRequest.GetHTTPMethod,WebHook,WebHook
WebRequest.GetHTTPVersion,WebHook,WebHook
WebRequest.GetHeaders,WebHook,WebHook
WebRequest.GetHost,WebHook,WebHook
WebRequest.GetLocalIP,WebHook,WebHook
WebRequest.GetLocalPort,WebHook,WebHook
WebRequest.GetMode,WebHook,WebHook
WebRequest.GetRawData,WebHook,WebHook
WebRequest.GetRemoteIP,WebHook,WebHook
WebRequest.GetRemotePort,WebHook,WebHook
WebRequest.GetSSL,WebHook,WebHook
WebRequest.GetSize,WebHook,WebHook
WebRequest.GetState,WebHook,WebHook
WebRequest.GetTag,WebHook,WebHook
WebRequest.GetURL,WebHook,WebHook
WebRequest.GetWebHook,WebHook,WebHook
WebRequest.List,WebHook,WebHook
WebRequest.Release,WebHook,WebHook
